Datum,Name,Kurs *,Währung,2018,2017,2016,2015,2014,2013
26.03.2019,Orion Corporation (New) (B),,EUR,"1,5","1,45","1,55","1,3","1,3","1,25"
26.03.2019,Crest Nicholson Holdings Limited,"3,71",GBP,"0,33","0,33","0,28","0,2","0,14","0,07"
26.03.2019,Swiss Prime Site AG,,CHF,"3,8","3,8","3,7","3,7","3,7","3,6"
26.03.2019,Schindler AG (PS),,CHF,4,4,3,"2,7","2,2","2,2"
26.03.2019,Implenia AG,"28,62",CHF,,2,2,"1,9","1,8","1,6"
26.03.2019,Jyske Bank A-S,"246,3",DKK,"6,12","5,85","5,6","5,25",0,0
26.03.2019,Skandinaviska Enskilda Banken AB (SEB),"95,1",SEK,6,"5,75","5,5","5,25","4,75",4
26.03.2019,H. Lundbeck A-S,"294,5",DKK,12,8,"2,45",0,0,"2,77"
26.03.2019,Kao Corp.,"8.718,00",JPY,120,110,94,80,70,64
26.03.2019,SK Telecom Co. Ltd. (Spons. ADRs),,KRW,,"10.000,00","10.000,00","10.000,00","9.400,00","9.400,00"
26.03.2019,Shimano Inc.,"17.250,00",JPY,,155,155,155,105,87
26.03.2019,Asahi Group Holdings Ltd.,"4.838,00",JPY,90,60,54,50,45,43
26.03.2019,Fortum Oyj,,EUR,"1,1","1,1","1,1","1,1","1,1","1,1"
26.03.2019,Schindler AG NA,201,CHF,4,4,3,"2,7","2,2","2,2"
26.03.2019,Randstad Holding N.V.,,EUR,"2,27","2,76","1,89","1,68","1,29","0,95"
26.03.2019,Dr. Hönle AG - UV Technology,48,EUR,"0,8","0,6","0,55","0,55","0,5","0,5"
26.03.2019,Sartorius Stedim Biotech,,EUR,"0,57","0,46","0,42","0,33",,
27.03.2019,Kur- und Verkehrsbetriebe Aktiengesellschaft Oberstdorf,145,EUR,0,0,0,0,0,0
27.03.2019,Telefon AB L.M.Ericsson (B) (spons. ADRs),"9,21",SEK,1,1,1,"3,7","3,4",3
27.03.2019,Outokumpu Oyj,,EUR,"0,15","0,25","0,1",0,0,0
27.03.2019,Andritz AG,"39,2",EUR,"1,55","1,55","1,5","1,35",1,"0,5"
27.03.2019,Daimler AG,"51,35",EUR,"3,25","3,65","3,25","3,25","2,45","2,25"
27.03.2019,Ericsson (Telefon AB L.M.Ericsson) (B),"85,26",SEK,1,1,1,"3,7","3,4",3
27.03.2019,FFLSmidth & Co. A-S,291,DKK,9,8,6,4,9,2
27.03.2019,Siemens Gamesa Renewable Energy SA,"14,14",EUR,"0,03",,"0,11","0,15","0,08",0
27.03.2019,Telefon AB L.M.Ericsson (A),"86,9",SEK,1,1,1,"3,7","3,4",3
27.03.2019,Sanoma-WSOY OyjShs,,EUR,"0,45","0,35","0,2","0,1","0,2","0,1"
27.03.2019,Trelleborg AB (B),149,SEK,"4,75","4,5","4,25",4,"3,75","3,25"
27.03.2019,RM PLC,"2,32",GBP,"0,08","0,07","0,06","0,05","0,04","0,03"
27.03.2019,Svenska Handelsbanken AB (A),,SEK,"5,5","5,5",5,"4,5","5,83","5,5"
27.03.2019,Meier Tobler,"17,86",CHF,0,2,2,2,"2,5","0,01"
27.03.2019,Leonteq AG,"37,6",CHF,0,0,0,"1,75","1,5",1
28.03.2019,Vale SA (spons. ADRs),"12,63",USD,"0,64","0,28","0,05","0,29","0,81","0,87"
28.03.2019,Gjensidige Forsikring ASA,"158,3",NOK,"7,1","7,1","6,8","6,4","5,9","6,8"
28.03.2019,Leonteq AG,"36,92",CHF,0,0,0,"1,75","1,5",1
28.03.2019,Autoneum AG,116,CHF,"3,6","6,5","6,5","4,5","4,5","1,3"
28.03.2019,Temple Bar Investment Trust PLC,,GBP,"0,47","0,42","0,4","0,4","0,39","0,38"
28.03.2019,Zehnder AG (A),"27,8",EUR,"0,71","0,43","0,82",0,1,"0,55"
28.03.2019,Banco de Sabadell SA,"0,87",EUR,"0,03","0,07","0,07","0,07","0,05","0,01"
28.03.2019,J.M. ABShs,"181,7",SEK,12,11,"9,5","8,25",8,"7,25"
28.03.2019,Nordea AB (Spons. FDRS),,EUR,"0,69","0,68","0,65","0,64","0,62","0,43"
28.03.2019,Dentsu Inc.,"4.705,00",JPY,,90,85,55,33,32
28.03.2019,Givaudan AG,"2.548,00",CHF,60,58,56,54,50,47
28.03.2019,Sartorius AG Vz.,"152,3",EUR,"0,62","0,51","0,46","0,38","0,27","0,26"
28.03.2019,Canon Inc.,"3.212,00",JPY,160,160,150,150,150,130
28.03.2019,"SKF Group (B, Fria)","157,9",SEK,6,"5,5","5,5","5,5","5,5","5,5"
28.03.2019,Sanochemia Pharmazeutika AG,2,EUR,0,0,0,0,0,0
28.03.2019,Deutsche Telekom AG,"15,53",EUR,"0,7","0,65","0,6","0,55","0,5","0,5"
28.03.2019,CIENA Corp.,,USD,0,0,0,0,0,0
28.03.2019,Sartorius AG St.,"137,5",EUR,"0,61","0,5","0,45","0,38","0,27","0,25"
28.03.2019,Kirin Holdings Co. Ltd.,"2.592,00",JPY,"49,5","40,5",39,38,38,36
28.03.2019,KCI Konecranes Oyj (KCI Konecranes plc),,EUR,"1,2","1,2","1,05","1,05","1,05","1,05"
28.03.2019,Skanska,"174,55",SEK,6,"8,25","8,25","7,5","6,75","6,25"
28.03.2019,Sapporo Holdings Ltd.,"2.421,00",JPY,,40,37,35,7,7
28.03.2019,Asahi Glass Co. Ltd.,"3.800,00",JPY,115,19,18,18,18,18
28.03.2019,Inficon AG (N),"542,5",USD,"22,02","20,52","15,73","13,16","15,17","16,08"
28.03.2019,Cemex S.A. (Spons. ADRs),,MXN,0,0,0,0,0,0
28.03.2019,Swedbank AB,"142,15",SEK,"14,2",13,"13,2","10,7","11,35","10,1"
28.03.2019,Leucadia National Corp.,,USD,"0,45","0,33","0,25","0,25","0,25","0,25"
28.03.2019,Nordea Bank Abp Registered Shs,,EUR,"0,69","0,68","0,65","0,64","0,62","0,43"
